31.54	 0.03	25.12	-0.00	25.13	11.44	cooling		
31.53	 0.02	25.08	-0.03	25.13	11.40	cooling		
31.55	 0.04	25.12	 0.00	25.13	11.45	cooling		
31.54	 0.02	25.12	 0.00	25.13	11.44	cooling		
31.54	 0.02	25.12	 0.00	25.13	11.44	cooling		
31.55	 0.03	25.09	-0.02	25.13	11.42	cooling		
31.57	 0.04	25.12	 0.00	25.13	11.45	cooling		
31.57	 0.04	25.12	 0.00	25.13	11.45	cooling		
31.57	 0.04	25.13	 0.01	25.13	11.46	cooling		
31.58	 0.05	25.12	 0.00	25.13	11.46	cooling		
31.60	 0.05	25.13	 0.01	25.13	11.48	cooling		
31.59	 0.04	25.13	 0.01	25.13	11.47	cooling		
31.61	 0.05	25.14	 0.02	25.13	11.49	cooling		
31.61	 0.05	25.14	 0.02	25.13	11.49	cooling		
31.62	 0.06	25.15	 0.02	25.13	11.51	cooling		
31.63	 0.06	25.15	 0.02	25.13	11.51	cooling		
31.64	 0.06	25.18	 0.05	25.13	11.54	cooling		
31.64	 0.06	25.17	 0.03	25.13	11.53	cooling		
31.64	 0.05	25.16	 0.02	25.13	11.51	cooling		
31.66	 0.06	25.19	 0.05	25.13	11.56	cooling		
31.64	 0.04	25.20	 0.05	25.13	11.56	cooling		
31.64	 0.04	25.19	 0.04	25.13	11.54	cooling		
31.65	 0.04	25.21	 0.05	25.13	11.57	cooling		
31.64	 0.02	25.21	 0.05	25.13	11.55	cooling		
31.65	 0.03	25.20	 0.03	25.13	11.55	cooling		
31.64	 0.02	25.24	 0.07	25.13	11.58	cooling		
31.64	 0.02	25.24	 0.06	25.13	11.59	cooling		
31.65	 0.03	25.21	 0.03	25.13	11.56	cooling		
31.66	 0.03	25.23	 0.04	25.13	11.58	cooling		
31.65	 0.02	25.22	 0.03	25.13	11.57	cooling		
31.64	 0.01	25.24	 0.05	25.13	11.58	cooling		
31.64	 0.01	25.27	 0.06	25.13	11.60	cooling		
31.64	 0.01	25.24	 0.04	25.13	11.58	cooling		
31.64	 0.00	25.24	 0.03	25.13	11.57	cooling		
31.63	-0.00	25.25	 0.04	25.13	11.58	cooling		
31.64	 0.00	25.23	 0.02	25.13	11.56	cooling		
31.64	 0.01	25.23	 0.01	25.13	11.57	cooling		
31.62	-0.01	25.23	 0.01	25.13	11.55	cooling		
31.62	-0.01	25.23	 0.01	25.13	11.55	cooling		
31.62	-0.01	25.27	 0.04	25.13	11.58	cooling		
31.61	-0.02	25.25	 0.03	25.13	11.56	cooling		
31.61	-0.02	25.24	 0.01	25.13	11.55	cooling		
31.61	-0.01	25.24	 0.01	25.13	11.56	cooling		
31.61	-0.02	25.27	 0.03	25.13	11.58	cooling		
31.60	-0.02	25.24	 0.01	25.13	11.55	cooling		
31.61	-0.01	25.28	 0.04	25.13	11.59	cooling		
31.61	-0.01	25.25	 0.01	25.13	11.57	cooling		
31.59	-0.02	25.25	 0.01	25.13	11.56	cooling		
31.58	-0.03	25.24	 0.00	25.13	11.54	cooling		
31.58	-0.03	25.25	 0.01	25.13	11.56	cooling		
31.57	-0.03	25.27	 0.02	25.13	11.56	cooling		
31.57	-0.03	25.27	 0.02	25.13	11.56	cooling		
31.57	-0.02	25.27	 0.02	25.13	11.57	cooling		
31.57	-0.02	25.28	 0.02	25.13	11.58	cooling		
31.57	-0.02	25.27	 0.01	25.13	11.57	cooling		
31.58	-0.01	25.28	 0.02	25.13	11.59	cooling		
31.58	-0.01	25.28	 0.02	25.13	11.59	cooling		
31.61	 0.01	25.28	 0.02	25.13	11.60	cooling		
31.58	-0.01	25.28	 0.01	25.13	11.59	cooling		
31.60	 0.00	25.30	 0.03	25.13	11.62	cooling		
31.57	-0.02	25.30	 0.03	25.13	11.60	cooling		
31.59	-0.00	25.28	 0.01	25.13	11.59	cooling		
31.59	-0.00	25.28	 0.01	25.13	11.59	cooling		
31.59	-0.00	25.31	 0.03	25.13	11.63	cooling		
31.60	 0.01	25.30	 0.02	25.13	11.62	cooling		
31.58	-0.01	25.30	 0.02	25.13	11.61	cooling		
31.59	-0.00	25.31	 0.03	25.13	11.63	cooling		
31.58	-0.01	25.30	 0.01	25.13	11.61	cooling		
31.59	 0.00	25.32	 0.03	25.13	11.64	cooling		
31.59	 0.00	25.30	 0.01	25.13	11.62	cooling		
31.58	-0.01	25.30	 0.01	25.13	11.61	cooling		
31.59	 0.00	25.30	 0.01	25.13	11.62	cooling		
31.57	-0.01	25.30	 0.01	25.13	11.60	cooling		
31.58	-0.00	25.30	 0.01	25.13	11.61	cooling		
31.57	-0.01	25.32	 0.03	25.13	11.63	cooling		
31.57	-0.02	25.30	 0.00	25.13	11.60	cooling		
31.55	-0.03	25.30	 0.00	25.13	11.59	cooling		
31.56	-0.02	25.32	 0.02	25.13	11.62	cooling		
31.56	-0.02	25.32	 0.02	25.13	11.62	cooling		
31.54	-0.03	25.30	-0.00	25.13	11.59	cooling		
31.55	-0.02	25.31	 0.01	25.13	11.61	cooling		
31.54	-0.03	25.32	 0.02	25.13	11.61	cooling		
31.54	-0.03	25.31	 0.01	25.13	11.60	cooling		
31.54	-0.02	25.31	 0.01	25.13	11.61	cooling		
31.54	-0.02	25.32	 0.01	25.13	11.61	cooling		
31.53	-0.03	25.29	-0.02	25.13	11.58	cooling		
31.54	-0.01	25.30	-0.00	25.13	11.60	cooling		
31.53	-0.02	25.29	-0.01	25.13	11.58	cooling		
31.54	-0.01	25.31	 0.01	25.13	11.61	cooling		
31.54	-0.01	25.31	 0.01	25.13	11.61	cooling		
31.54	-0.01	25.30	-0.00	25.13	11.60	cooling		
31.53	-0.02	25.29	-0.01	25.13	11.58	cooling		
31.52	-0.02	25.31	 0.01	25.13	11.60	cooling		
31.52	-0.02	25.31	 0.01	25.13	11.60	cooling		
31.52	-0.02	25.31	 0.01	25.13	11.60	cooling		
31.52	-0.02	25.30	-0.00	25.13	11.59	cooling		
31.52	-0.02	25.30	-0.00	25.13	11.59	cooling		
31.52	-0.01	25.32	 0.02	25.13	11.62	cooling		
31.52	-0.01	25.31	 0.00	25.13	11.61	cooling		
31.52	-0.01	25.32	 0.01	25.13	11.62	cooling		
31.52	-0.01	25.34	 0.03	25.13	11.64	cooling		
31.52	-0.01	25.31	-0.00	25.13	11.61	cooling		
31.53	-0.00	25.33	 0.02	25.13	11.63	cooling		
31.52	-0.01	25.32	 0.01	25.13	11.62	cooling		
31.53	-0.00	25.32	 0.01	25.13	11.62	cooling		
31.53	-0.00	25.33	 0.02	25.13	11.64	cooling		
31.54	 0.01	25.34	 0.02	25.13	11.65	cooling		
31.52	-0.01	25.34	 0.02	25.13	11.64	cooling		
31.52	-0.01	25.35	 0.03	25.13	11.65	cooling		
31.53	 0.00	25.33	 0.01	25.13	11.64	cooling		
31.54	 0.01	25.33	 0.01	25.13	11.64	cooling		
31.52	-0.01	25.34	 0.02	25.13	11.64	cooling		
31.53	 0.00	25.35	 0.02	25.13	11.66	cooling		
31.54	 0.01	25.37	 0.04	25.13	11.68	cooling		
31.53	-0.00	25.36	 0.03	25.13	11.67	cooling		
31.53	-0.00	25.36	 0.02	25.13	11.67	cooling		
31.55	 0.02	25.37	 0.03	25.13	11.70	cooling		
31.54	 0.00	25.37	 0.03	25.13	11.68	cooling		
31.55	 0.02	25.37	 0.03	25.19	11.69	cooling		
31.53	-0.00	25.37	 0.02	25.13	11.68	cooling		
31.54	 0.00	25.36	 0.01	25.19	11.67	cooling		
31.54	 0.01	25.37	 0.02	25.13	11.69	cooling		
31.53	-0.01	25.38	 0.03	25.13	11.69	cooling		
31.54	 0.00	25.37	 0.01	25.13	11.68	cooling		
31.55	 0.02	25.38	 0.02	25.13	11.70	cooling		
31.55	 0.01	25.39	 0.03	25.13	11.71	cooling		
31.55	 0.01	25.39	 0.03	25.13	11.71	cooling		
31.56	 0.02	25.42	 0.04	25.13	11.74	cooling		
31.61	 0.06	25.42	 0.04	25.13	11.78	cooling		
31.63	 0.07	25.42	 0.04	25.19	11.78	cooling		
31.67	 0.10	25.40	 0.02	25.13	11.80	cooling		
31.73	 0.15	25.42	 0.03	25.19	11.85	cooling		
31.77	 0.16	25.44	 0.05	25.13	11.89	cooling		
31.80	 0.17	25.40	 0.01	25.13	11.87	cooling		
31.83	 0.18	25.42	 0.02	25.19	11.89	cooling		
31.87	 0.21	25.44	 0.04	25.13	11.94	cooling		
31.91	 0.22	25.42	 0.01	25.13	11.93	cooling		
31.97	 0.25	25.44	 0.03	25.13	11.98	cooling		
32.02	 0.28	25.46	 0.05	25.13	12.03	cooling		
32.06	 0.28	25.45	 0.03	25.13	12.03	cooling		
32.12	 0.30	25.45	 0.03	25.13	12.05	cooling		
32.15	 0.30	25.45	 0.03	25.13	12.06	cooling		
32.20	 0.32	25.45	 0.02	25.13	12.08	cooling		
32.25	 0.33	25.45	 0.02	25.13	12.09	cooling		
32.31	 0.36	25.45	 0.02	25.19	12.12	cooling		
32.35	 0.36	25.45	 0.02	25.19	12.13	cooling		
32.38	 0.35	25.46	 0.03	25.13	12.14	cooling		
32.46	 0.38	25.48	 0.04	25.19	12.20	cooling		
32.51	 0.39	25.47	 0.03	25.19	12.21	cooling		
32.59	 0.42	25.47	 0.03	25.19	12.24	cooling		
32.66	 0.44	25.47	 0.02	25.13	12.27	cooling		
32.74	 0.47	25.48	 0.03	25.13	12.31	cooling		
32.94	 0.60	25.50	 0.05	25.13	12.45	cooling		
33.18	 0.76	25.51	 0.05	25.19	12.60	cooling		
33.31	 0.80	25.50	 0.04	25.13	12.65	cooling		
33.43	 0.83	25.51	 0.04	25.19	12.69	cooling		
33.56	 0.86	25.52	 0.05	25.13	12.75	cooling		
33.69	 0.89	25.52	 0.04	25.13	12.80	cooling		
33.79	 0.89	25.52	 0.04	25.13	12.82	cooling		
33.88	 0.88	25.53	 0.04	25.19	12.84	cooling		
33.94	 0.85	25.53	 0.04	25.13	12.83	cooling		
33.99	 0.81	25.53	 0.04	25.19	12.82	cooling		
34.05	 0.78	25.53	 0.03	25.19	12.81	cooling		
34.06	 0.72	25.53	 0.03	25.19	12.78	cooling		
34.08	 0.66	25.53	 0.03	25.13	12.74	cooling		
34.10	 0.61	25.52	 0.01	25.19	12.71	cooling		
34.09	 0.55	25.54	 0.03	25.13	12.69	cooling		
34.08	 0.48	25.52	 0.01	25.19	12.62	cooling		
34.07	 0.42	25.53	 0.02	25.19	12.60	cooling		
34.03	 0.35	25.53	 0.02	25.19	12.55	cooling		
34.02	 0.30	25.53	 0.01	25.19	12.52	cooling		
34.02	 0.27	25.56	 0.03	25.13	12.52	cooling		
33.99	 0.22	25.53	 0.01	25.19	12.46	cooling		
33.98	 0.18	25.54	 0.02	25.13	12.45	cooling		
33.96	 0.14	25.54	 0.02	25.19	12.42	cooling		
33.98	 0.15	25.54	 0.02	25.19	12.43	cooling		
34.05	 0.20	25.56	 0.02	25.19	12.49	cooling		
34.19	 0.31	25.57	 0.03	25.19	12.59	cooling		
34.41	 0.47	25.59	 0.05	25.19	12.75	cooling		
34.70	 0.68	25.58	 0.03	25.19	12.93	cooling		
34.96	 0.86	25.60	 0.05	25.19	13.10	cooling		
35.32	 1.09	25.60	 0.04	25.19	13.32	cooling		
35.70	 1.33	25.61	 0.05	25.19	13.55	cooling		
36.16	 1.61	25.61	 0.04	25.19	13.80	cooling		
36.59	 1.84	25.63	 0.06	25.19	14.05	cooling		
37.05	 2.06	25.64	 0.06	25.19	14.28	heating		
37.50	 2.26	25.66	 0.08	25.19	14.52	heating		
37.99	 2.48	25.67	 0.08	25.19	14.76	heating		
38.53	 2.72	25.67	 0.07	25.19	15.01	heating		
39.11	 2.97	25.71	 0.09	25.19	15.31	heating		
39.67	 3.17	25.69	 0.07	25.19	15.53	heating		
40.26	 3.38	25.72	 0.09	25.19	15.80	heating		
40.91	 3.63	25.74	 0.10	25.19	16.10	heating		
41.52	 3.82	25.74	 0.09	25.19	16.33	heating		
42.14	 4.00	25.73	 0.07	25.19	16.55	heating		
42.74	 4.13	25.74	 0.07	25.19	16.76	heating		
43.15	 4.09	25.74	 0.06	25.19	16.82	heating		
43.58	 4.07	25.73	 0.05	25.19	16.88	heating		
43.87	 3.92	25.72	 0.03	25.19	16.84	heating		
44.13	 3.77	25.74	 0.05	25.19	16.83	heating		
44.31	 3.55	25.74	 0.04	25.19	16.73	heating		
44.40	 3.28	25.74	 0.04	25.19	16.58	heating		
44.41	 2.96	25.71	 0.01	25.19	16.36	heating		
44.33	 2.59	25.71	 0.01	25.19	16.13	heating		
44.27	 2.28	25.71	 0.01	25.19	15.93	heating		
44.16	 1.95	25.73	 0.02	25.19	15.73	heating		
44.02	 1.63	25.71	 0.00	25.19	15.49	heating		
43.83	 1.29	25.71	 0.00	25.19	15.25	heating		
43.66	 1.01	25.71	 0.00	25.19	15.05	heating		
43.51	 0.77	25.71	 0.00	25.19	14.87	heating		
43.32	 0.53	25.71	 0.00	25.19	14.68	heating		
43.14	 0.31	25.71	 0.00	25.19	14.52	heating		
43.06	 0.21	25.73	 0.02	25.19	14.46	heating		
43.10	 0.22	25.72	 0.01	25.19	14.47	heating		
43.21	 0.30	25.77	 0.06	25.19	14.59	heating		
43.34	 0.39	25.75	 0.03	25.19	14.65	heating		
43.52	 0.51	25.76	 0.04	25.19	14.77	heating		
43.76	 0.68	25.76	 0.03	25.19	14.92	heating		
44.03	 0.86	25.74	 0.01	25.19	15.06	heating		
44.36	 1.07	25.77	 0.04	25.19	15.28	heating		
44.72	 1.28	25.78	 0.04	25.19	15.49	heating		
45.15	 1.54	25.79	 0.05	25.19	15.74	heating		
45.63	 1.82	25.83	 0.08	25.19	16.05	heating		
46.19	 2.14	25.87	 0.10	25.19	16.39	heating		
46.76	 2.44	25.86	 0.08	25.19	16.67	heating		
